Song,Measure,Week,Issue,File Path
Holding On,listeners,20240329,Missing HTML,html outputs/page_source_listeners_20240329_1711474240_by_city.html
Holding On,listeners,20240322,Missing HTML,html outputs/page_source_listeners_20240322_1711474240_by_city.html
Holding On,listeners,20240315,Missing HTML,html outputs/page_source_listeners_20240315_1711474240_by_city.html
Holding On,listeners,20240308,Missing HTML,html outputs/page_source_listeners_20240308_1711474240_by_city.html
Holding On,listeners,20240301,Missing HTML,html outputs/page_source_listeners_20240301_1711474240_by_city.html
Holding On,listeners,20240223,Missing HTML,html outputs/page_source_listeners_20240223_1711474240_by_city.html
Holding On,listeners,20240216,Missing HTML,html outputs/page_source_listeners_20240216_1711474240_by_city.html
Holding On,listeners,20240209,Missing HTML,html outputs/page_source_listeners_20240209_1711474240_by_city.html
Holding On,listeners,20240202,Missing HTML,html outputs/page_source_listeners_20240202_1711474240_by_city.html
Holding On,listeners,20240126,Missing HTML,html outputs/page_source_listeners_20240126_1711474240_by_city.html
Holding On,listeners,20240119,Missing HTML,html outputs/page_source_listeners_20240119_1711474240_by_city.html
Holding On,listeners,20240112,Missing HTML,html outputs/page_source_listeners_20240112_1711474240_by_city.html
Holding On,listeners,20240105,Missing HTML,html outputs/page_source_listeners_20240105_1711474240_by_city.html
Holding On,listeners,20231229,Missing HTML,html outputs/page_source_listeners_20231229_1711474240_by_city.html
Holding On,listeners,20231222,Missing HTML,html outputs/page_source_listeners_20231222_1711474240_by_city.html
Holding On,listeners,20231215,Missing HTML,html outputs/page_source_listeners_20231215_1711474240_by_city.html
Holding On,listeners,20231208,Missing HTML,html outputs/page_source_listeners_20231208_1711474240_by_city.html
Holding On,listeners,20231201,Missing HTML,html outputs/page_source_listeners_20231201_1711474240_by_city.html
Holding On,listeners,20231124,Missing HTML,html outputs/page_source_listeners_20231124_1711474240_by_city.html
Holding On,listeners,20231117,Missing HTML,html outputs/page_source_listeners_20231117_1711474240_by_city.html
Holding On,listeners,20231110,Missing HTML,html outputs/page_source_listeners_20231110_1711474240_by_city.html
That Thing,plays,20250418,Missing CSV,parsed csvs/plays_by_city_1807227251_20250418.csv
