city,song,song_id,release_date,peak_date,peak_streams,peak_listeners,weeks_to_peak,is_still_growing,peaked_first_week
Tokyo,Althea,1748029276,2024-06-21,2024-06-28,11,5,1.0,False,False
Tokyo,That Thing,1807227251,2025-03-21,2025-04-18,9,6,4.0,False,False
Tokyo,What Home Is,1711474234,2023-11-10,2023-11-24,4,4,2.0,False,False
Tokyo,Cycles,1711474233,2023-11-10,2023-11-24,9,7,2.0,False,False
Tokyo,Easy,1711474241,2023-11-10,2023-11-24,2,2,2.0,False,False
Tokyo,The Way That It Was,1711474242,2023-11-10,2023-11-24,1,1,2.0,False,False
Tokyo,Holding On,1711474240,2023-11-10,2023-11-24,4,4,2.0,False,False
Tokyo,All In,1711474237,2023-11-10,2023-11-24,4,4,2.0,False,False
Tokyo,Crash,1711474239,2023-11-10,2023-11-24,4,3,2.0,False,False
Tokyo,Kid,1711474235,2023-11-10,2023-11-24,4,4,2.0,False,False
Tokyo,Slipping Away,1711474243,2023-11-10,2023-12-01,1,1,3.0,False,False
Toronto,Althea,1748029276,2024-06-21,2024-06-28,27,21,1.0,False,False
Toronto,What Home Is,1711474234,2023-11-10,2023-11-17,1,1,1.0,False,False
Toronto,That Thing,1807227251,2025-03-21,2025-05-16,6,4,,True,False
Toronto,Cycles,1711474233,2023-11-10,2023-11-17,1,1,1.0,False,False
Toronto,The Way That It Was,1711474242,2023-11-10,2023-11-17,2,1,1.0,False,False
Toronto,Holding On,1711474240,2023-11-10,2023-11-17,2,1,1.0,False,False
Toronto,Kid,1711474235,2023-11-10,2023-11-17,1,1,1.0,False,False
Toronto,Crash,1711474239,2023-11-10,2023-11-17,2,1,1.0,False,False
Toronto,All In,1711474237,2023-11-10,2023-11-17,2,1,1.0,False,False
Toronto,Slipping Away,1711474243,2023-11-10,2023-11-17,2,1,1.0,False,False
Toronto,Easy,1711474241,2023-11-10,2023-11-17,2,1,1.0,False,False
Toronto,Breaking Me Down,1807227249,2025-04-25,2025-05-02,1,1,1.0,False,False
Baltimore,Althea,1748029276,2024-06-21,2024-06-28,11,9,1.0,False,False
Baltimore,That Thing,1807227251,2025-03-21,2025-03-21,3,3,0.0,False,True
Baltimore,Cycles,1711474233,2023-11-10,2023-11-10,1,1,0.0,False,True
Baltimore,Breaking Me Down,1807227249,2025-04-25,2025-05-09,1,1,2.0,False,False
Baltimore,Holding On,1711474240,2023-11-10,2024-02-02,1,1,,True,False
Baton Rouge,Althea,1748029276,2024-06-21,2024-06-28,2,2,1.0,False,False
Baton Rouge,That Thing,1807227251,2025-03-21,2025-04-18,2,2,4.0,False,False
Calgary,Althea,1748029276,2024-06-21,2024-06-28,11,8,1.0,False,False
Calgary,That Thing,1807227251,2025-03-21,2025-04-25,2,2,5.0,False,False
Chicago,Kid,1711474235,2023-11-10,2023-12-15,4,2,5.0,False,False
Chicago,What Home Is,1711474234,2023-11-10,2023-12-15,4,2,5.0,False,False
Chicago,Cycles,1711474233,2023-11-10,2023-12-15,5,2,5.0,False,False
Chicago,That Thing,1807227251,2025-03-21,2025-04-11,9,9,3.0,False,False
Chicago,Althea,1748029276,2024-06-21,2024-06-28,33,24,1.0,False,False
Chicago,Slipping Away,1711474243,2023-11-10,2023-12-15,4,1,5.0,False,False
Chicago,Crash,1711474239,2023-11-10,2023-12-15,3,2,5.0,False,False
Chicago,The Way That It Was,1711474242,2023-11-10,2023-12-29,4,1,7.0,False,False
Chicago,Holding On,1711474240,2023-11-10,2023-12-15,4,4,5.0,False,False
Chicago,Easy,1711474241,2023-11-10,2023-12-15,4,1,5.0,False,False
Chicago,All In,1711474237,2023-11-10,2023-12-15,4,2,5.0,False,False
Chicago,Breaking Me Down,1807227249,2025-04-25,2025-05-09,1,1,2.0,False,False
Denver,Holding On,1711474240,2023-11-10,2023-11-10,5,2,0.0,False,True
Denver,Althea,1748029276,2024-06-21,2024-06-28,49,38,1.0,False,False
Denver,Slipping Away,1711474243,2023-11-10,2023-11-10,6,2,0.0,False,True
Denver,The Way That It Was,1711474242,2023-11-10,2023-11-10,5,2,0.0,False,True
Denver,What Home Is,1711474234,2023-11-10,2023-11-10,7,2,0.0,False,True
Denver,Cycles,1711474233,2023-11-10,2023-11-10,8,3,0.0,False,True
Denver,That Thing,1807227251,2025-03-21,2025-03-21,20,15,0.0,False,True
Denver,Kid,1711474235,2023-11-10,2023-11-10,5,3,0.0,False,True
Denver,Crash,1711474239,2023-11-10,2023-11-10,3,2,0.0,False,True
Denver,All In,1711474237,2023-11-10,2023-11-10,4,2,0.0,False,True
Denver,Easy,1711474241,2023-11-10,2023-11-10,4,2,0.0,False,True
Denver,Breaking Me Down,1807227249,2025-04-25,2025-04-25,2,1,0.0,False,True
Detroit,Althea,1748029276,2024-06-21,2024-06-28,27,24,1.0,False,False
Detroit,That Thing,1807227251,2025-03-21,2025-04-11,4,3,3.0,False,False
Detroit,Cycles,1711474233,2023-11-10,2023-12-15,1,1,5.0,False,False
Detroit,Breaking Me Down,1807227249,2025-04-25,2025-05-16,2,1,,True,False
Houston,What Home Is,1711474234,2023-11-10,2023-11-10,1,0,0.0,False,True
Houston,That Thing,1807227251,2025-03-21,2025-04-11,3,3,3.0,False,False
Houston,Cycles,1711474233,2023-11-10,2023-11-10,1,1,0.0,False,True
Houston,Kid,1711474235,2023-11-10,2023-11-10,1,1,0.0,False,True
Houston,Althea,1748029276,2024-06-21,2024-06-21,9,8,0.0,False,True
Houston,Slipping Away,1711474243,2023-11-10,2023-11-10,1,1,0.0,False,True
Houston,Crash,1711474239,2023-11-10,2023-11-10,1,1,0.0,False,True
Houston,Breaking Me Down,1807227249,2025-04-25,2025-05-09,1,1,2.0,False,False
Houston,Holding On,1711474240,2023-11-10,2023-12-08,1,1,4.0,False,False
Houston,All In,1711474237,2023-11-10,2023-11-10,1,1,0.0,False,True
Kansas City,What Home Is,1711474234,2023-11-10,2024-01-26,1,1,11.0,False,False
