city,song,song_id,release_date,peak_date,peak_streams,peak_listeners,weeks_to_peak,weeks_to_adopt,is_still_growing,peaked_first_week,total_streams
Houston,All In,1711474237,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Kansas City,What Home Is,1711474234,2023-11-10,2024-01-26,1,1,11.0,11.0,False,False,1
Kansas City,The Way That It Was,1711474242,2023-11-10,2023-12-22,1,1,6.0,6.0,False,False,1
Kansas City,Althea,1748029276,2024-06-21,2024-06-28,11,10,1.0,0.0,False,False,31
Kansas City,That Thing,1807227251,2025-03-21,2025-04-11,2,1,3.0,1.0,False,False,4
Kansas City,Cycles,1711474233,2023-11-10,2023-11-24,2,1,2.0,2.0,False,False,2
Montréal,The Way That It Was,1711474242,2023-11-10,2023-12-22,1,1,6.0,6.0,False,False,1
Montréal,Althea,1748029276,2024-06-21,2024-07-05,5,5,2.0,0.0,False,False,18
Montréal,Slipping Away,1711474243,2023-11-10,2023-12-22,1,1,6.0,6.0,False,False,1
Montréal,Kid,1711474235,2023-11-10,2023-12-22,1,1,6.0,6.0,False,False,1
Montréal,That Thing,1807227251,2025-03-21,2025-03-28,2,2,1.0,0.0,False,False,4
Montréal,Cycles,1711474233,2023-11-10,2023-12-22,1,1,6.0,6.0,False,False,1
Montréal,What Home Is,1711474234,2023-11-10,2023-12-22,1,1,6.0,6.0,False,False,1
Montréal,Crash,1711474239,2023-11-10,2023-12-22,1,1,6.0,6.0,False,False,1
Montréal,All In,1711474237,2023-11-10,2023-12-22,1,1,6.0,6.0,False,False,1
Montréal,Easy,1711474241,2023-11-10,2023-12-22,1,1,6.0,6.0,False,False,1
Montréal,Holding On,1711474240,2023-11-10,2023-12-22,1,1,6.0,6.0,False,False,1
Nashville,What Home Is,1711474234,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Nashville,That Thing,1807227251,2025-03-21,2025-03-21,4,4,0.0,0.0,False,True,8
Nashville,Cycles,1711474233,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Nashville,Holding On,1711474240,2023-11-10,2023-11-17,1,0,1.0,1.0,False,False,1
Nashville,Kid,1711474235,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Nashville,All In,1711474237,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Nashville,Althea,1748029276,2024-06-21,2024-06-21,19,13,0.0,0.0,False,True,49
Nashville,Breaking Me Down,1807227249,2025-04-25,2025-05-09,1,1,2.0,2.0,False,False,2
Nashville,Crash,1711474239,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
New York City,Holding On,1711474240,2023-11-10,2024-01-26,2,2,11.0,0.0,False,False,7
New York City,The Way That It Was,1711474242,2023-11-10,2024-01-12,2,1,9.0,0.0,False,False,8
New York City,Cycles,1711474233,2023-11-10,2024-01-26,4,2,11.0,0.0,False,False,16
New York City,Slipping Away,1711474243,2023-11-10,2024-01-12,2,2,9.0,0.0,False,False,6
New York City,Kid,1711474235,2023-11-10,2024-02-02,5,2,,0.0,True,False,16
New York City,What Home Is,1711474234,2023-11-10,2024-02-02,4,2,,0.0,True,False,11
New York City,Easy,1711474241,2023-11-10,2024-02-02,2,1,,0.0,True,False,7
New York City,Althea,1748029276,2024-06-21,2024-06-28,22,16,1.0,0.0,False,False,78
New York City,That Thing,1807227251,2025-03-21,2025-03-28,9,8,1.0,0.0,False,False,23
New York City,Crash,1711474239,2023-11-10,2024-02-02,3,2,,0.0,True,False,8
New York City,All In,1711474237,2023-11-10,2024-02-02,2,3,,0.0,True,False,8
New York City,Breaking Me Down,1807227249,2025-04-25,2025-04-25,3,3,0.0,0.0,False,True,3
Philadelphia,Slipping Away,1711474243,2023-11-10,2023-11-24,1,1,2.0,2.0,False,False,1
Philadelphia,That Thing,1807227251,2025-03-21,2025-03-21,3,3,0.0,0.0,False,True,5
Philadelphia,Cycles,1711474233,2023-11-10,2023-11-24,1,1,2.0,2.0,False,False,1
Philadelphia,Althea,1748029276,2024-06-21,2024-06-28,15,12,1.0,0.0,False,False,38
Philadelphia,Crash,1711474239,2023-11-10,2023-11-24,1,1,2.0,2.0,False,False,1
Philadelphia,Holding On,1711474240,2023-11-10,2023-12-01,1,1,3.0,3.0,False,False,1
Portland,Althea,1748029276,2024-06-21,2024-06-21,30,19,0.0,0.0,False,True,91
Portland,That Thing,1807227251,2025-03-21,2025-03-28,5,4,1.0,0.0,False,False,13
Portland,Breaking Me Down,1807227249,2025-04-25,2025-05-02,1,1,1.0,1.0,False,False,1
Salt Lake City,Althea,1748029276,2024-06-21,2024-06-28,20,16,1.0,0.0,False,False,38
Salt Lake City,That Thing,1807227251,2025-03-21,2025-03-21,5,5,0.0,0.0,False,True,9
Salt Lake City,What Home Is,1711474234,2023-11-10,2023-11-24,2,1,2.0,2.0,False,False,2
San Diego,Althea,1748029276,2024-06-21,2024-06-28,5,5,1.0,0.0,False,False,16
San Diego,That Thing,1807227251,2025-03-21,2025-03-21,2,2,0.0,0.0,False,True,6
San Diego,Breaking Me Down,1807227249,2025-04-25,2025-05-09,1,1,2.0,2.0,False,False,1
Seoul,Althea,1748029276,2024-06-21,2024-07-19,1,1,4.0,0.0,False,False,2
Seoul,That Thing,1807227251,2025-03-21,2025-04-04,1,1,2.0,2.0,False,False,1
Sydney,Althea,1748029276,2024-06-21,2024-07-05,4,4,2.0,0.0,False,False,15
Sydney,That Thing,1807227251,2025-03-21,2025-03-28,3,3,1.0,1.0,False,False,4
Sydney,Breaking Me Down,1807227249,2025-04-25,2025-05-16,1,1,,3.0,True,False,1
Vancouver,That Thing,1807227251,2025-03-21,2025-03-21,6,5,0.0,0.0,False,True,10
Vancouver,Cycles,1711474233,2023-11-10,2023-11-10,0,0,,,True,False,0
Vancouver,Althea,1748029276,2024-06-21,2024-06-28,16,13,1.0,0.0,False,False,45
West Chester,Althea,1748029276,2024-06-21,2024-07-12,4,1,3.0,2.0,False,False,6
Albuquerque,Slipping Away,1711474243,2023-11-10,2023-11-10,3,1,0.0,0.0,False,True,4
Albuquerque,What Home Is,1711474234,2023-11-10,2023-11-10,2,0,0.0,0.0,False,True,2
Albuquerque,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,2
Albuquerque,Cycles,1711474233,2023-11-10,2023-11-10,2,1,0.0,0.0,False,True,3
Albuquerque,Kid,1711474235,2023-11-10,2023-11-10,2,1,0.0,0.0,False,True,2
Albuquerque,The Way That It Was,1711474242,2023-11-10,2023-11-10,6,1,0.0,0.0,False,True,7
Albuquerque,Althea,1748029276,2024-06-21,2024-06-28,6,4,1.0,0.0,False,False,12
Albuquerque,All In,1711474237,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Albuquerque,Holding On,1711474240,2023-11-10,2023-11-10,2,1,0.0,0.0,False,True,2
Albuquerque,Easy,1711474241,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Halifax,What Home Is,1711474234,2023-11-10,2024-01-12,1,1,9.0,9.0,False,False,1
Halifax,Cycles,1711474233,2023-11-10,2024-01-12,1,1,9.0,9.0,False,False,1
Halifax,Althea,1748029276,2024-06-21,2024-07-05,3,2,2.0,1.0,False,False,6
Halifax,That Thing,1807227251,2025-03-21,2025-04-18,1,1,4.0,2.0,False,False,2
Burlington,What Home Is,1711474234,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Burlington,That Thing,1807227251,2025-03-21,2025-03-21,2,2,0.0,0.0,False,True,3
Burlington,Cycles,1711474233,2023-11-10,2023-11-10,1,0,0.0,0.0,False,True,1
Burlington,Kid,1711474235,2023-11-10,2023-11-10,2,0,0.0,0.0,False,True,2
