Song,Measure,Period,Period Type,Issue,File Path
Easy,listeners,20250103,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20250103.csv
Easy,listeners,20250117,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20250117.csv
Easy,listeners,20250124,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20250124.csv
Easy,listeners,20250131,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20250131.csv
Easy,listeners,20250207,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20250207.csv
Easy,listeners,20250214,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20250214.csv
Easy,listeners,20250221,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20250221.csv
Easy,plays,20240126,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20240126.csv
Easy,plays,20240301,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20240301.csv
Easy,plays,20240426,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20240426.csv
Easy,plays,20240503,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20240503.csv
Easy,plays,20240510,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20240510.csv
Easy,plays,20240531,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20240531.csv
Easy,plays,20240607,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20240607.csv
Easy,plays,20240712,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20240712.csv
Easy,plays,20240719,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20240719.csv
Easy,plays,20241004,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20241004.csv
Easy,plays,20241011,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20241011.csv
Easy,plays,20241018,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20241018.csv
Easy,plays,20241206,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20241206.csv
Easy,plays,20241213,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20241213.csv
Easy,plays,20241220,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20241220.csv
Easy,plays,20241227,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20241227.csv
Easy,plays,20250117,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20250117.csv
Easy,plays,20250124,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20250124.csv
Easy,plays,20250131,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20250131.csv
Easy,plays,20250207,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20250207.csv
Easy,plays,20250214,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20250214.csv
Easy,plays,20250221,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20250221.csv
Holding On,listeners,20241004,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474240_20241004.csv
Holding On,listeners,20241011,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474240_20241011.csv
Holding On,listeners,20250124,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474240_20250124.csv
Holding On,listeners,20250131,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474240_20250131.csv
Holding On,listeners,20250207,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474240_20250207.csv
Holding On,listeners,20250214,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474240_20250214.csv
Holding On,listeners,20250221,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474240_20250221.csv
Holding On,listeners,20250404,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474240_20250404.csv
Holding On,listeners,20250411,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474240_20250411.csv
Holding On,plays,20240112,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474240_20240112.csv
Holding On,plays,20240209,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474240_20240209.csv
Holding On,plays,20241004,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474240_20241004.csv
Holding On,plays,20241011,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474240_20241011.csv
Holding On,plays,20250124,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474240_20250124.csv
Holding On,plays,20250131,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474240_20250131.csv
Holding On,plays,20250207,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474240_20250207.csv
Holding On,plays,20250214,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474240_20250214.csv
Holding On,plays,20250221,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474240_20250221.csv
Holding On,plays,20250307,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474240_20250307.csv
Holding On,plays,20250321,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474240_20250321.csv
Holding On,plays,20250404,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474240_20250404.csv
Holding On,plays,20250411,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474240_20250411.csv
Kid,listeners,20240510,weekly,CSV has no data rows,parsed csvs/parsed_weekly_listeners_by_city_1711474235_20240510.csv
Kid,listeners,20240607,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474235_20240607.csv
Kid,listeners,20240719,weekly,CSV has no data rows,parsed csvs/parsed_weekly_listeners_by_city_1711474235_20240719.csv
Kid,listeners,20240726,weekly,CSV has no data rows,parsed csvs/parsed_weekly_listeners_by_city_1711474235_20240726.csv
Kid,listeners,20241213,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474235_20241213.csv
Kid,listeners,20241220,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474235_20241220.csv
Kid,listeners,20241227,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474235_20241227.csv
Kid,listeners,20250131,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474235_20250131.csv
Kid,listeners,20250404,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474235_20250404.csv
Kid,plays,20240510,weekly,CSV has no data rows,parsed csvs/parsed_weekly_plays_by_city_1711474235_20240510.csv
Kid,plays,20240607,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474235_20240607.csv
Kid,plays,20240719,weekly,CSV has no data rows,parsed csvs/parsed_weekly_plays_by_city_1711474235_20240719.csv
Kid,plays,20240726,weekly,CSV has no data rows,parsed csvs/parsed_weekly_plays_by_city_1711474235_20240726.csv
Kid,plays,20241213,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474235_20241213.csv
Kid,plays,20241220,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474235_20241220.csv
Kid,plays,20241227,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474235_20241227.csv
Kid,plays,20250131,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474235_20250131.csv
Kid,plays,20250404,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474235_20250404.csv
Slipping Away,listeners,20240510,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474243_20240510.csv
Slipping Away,listeners,20240607,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474243_20240607.csv
Slipping Away,listeners,20240913,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474243_20240913.csv
Slipping Away,listeners,20241018,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474243_20241018.csv
Slipping Away,listeners,20241108,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474243_20241108.csv
