City,Previous Period,Current Period,% Change,Date,Group By
Syracuse,1,2,+100%,20250328,city
Tokyo,1,2,+100%,20250328,city
Wilmington,1,2,+100%,20250328,city
Amsterdam,0,1,-,20250328,city
Auckland,0,1,-,20250328,city
Bakersfield,0,1,-,20250328,city
Baltimore,3,1,-67%,20250328,city
Bayonne,0,1,-,20250328,city
Bemidji,0,1,-,20250328,city
Boise,1,1,0%,20250328,city
Bordeaux,0,1,-,20250328,city
Boulder,0,1,-,20250328,city
Bratislava,0,1,-,20250328,city
Brockton,1,1,0%,20250328,city
Buffalo,2,1,-50%,20250328,city
Burlington,0,1,-,20250328,city
Cape Town,1,1,0%,20250328,city
Charleroi,0,1,-,20250328,city
Chowchilla,0,1,-,20250328,city
Circleville,0,1,-,20250328,city
Cookeville,1,1,0%,20250328,city
Crawfordsville,0,1,-,20250328,city
Dublin,0,1,-,20250328,city
Edinburgh,0,1,-,20250328,city
Edmonton,2,1,-50%,20250328,city
Fort Wayne,0,1,-,20250328,city
Fort Worth,2,1,-50%,20250328,city
Frankfurt Am Main,0,1,-,20250328,city
Gastonia,0,1,-,20250328,city
Gordon,0,1,-,20250328,city
Jacksonville,0,1,-,20250328,city
Joliette,0,1,-,20250328,city
Kansas City,0,1,-,20250328,city
Knoxville,0,1,-,20250328,city
Lake Butler,0,1,-,20250328,city
Lausanne,2,1,-50%,20250328,city
Leesburg,0,1,-,20250328,city
Leuven,0,1,-,20250328,city
Lexington-Fayette,0,1,-,20250328,city
Little Rock,0,1,-,20250328,city
Los Mochis,0,1,-,20250328,city
Lubbock,2,1,-50%,20250328,city
Lynchburg,0,1,-,20250328,city
Melbourne,0,1,-,20250328,city
Memphis,0,1,-,20250328,city
Miami,1,1,0%,20250328,city
Milan,0,1,-,20250328,city
Minato,0,1,-,20250328,city
Montgomery,0,1,-,20250328,city
Newmarket,0,1,-,20250328,city
Oak Harbor,0,1,-,20250328,city
Oldenburg,0,1,-,20250328,city
Ottawa,1,1,0%,20250328,city
Paris,0,1,-,20250328,city
Philadelphia,3,1,-67%,20250328,city
Phoenix,1,1,0%,20250328,city
Pittsburgh,5,1,-80%,20250328,city
Port Saint Lucie,0,1,-,20250328,city
Poznań,0,1,-,20250328,city
Red Deer,0,1,-,20250328,city
Richmond,0,1,-,20250328,city
San Luis Obispo,0,1,-,20250328,city
Sheridan,0,1,-,20250328,city
Stuttgart,0,1,-,20250328,city
Taichung,0,1,-,20250328,city
Tampa,8,1,-88%,20250328,city
Thành Phố Uông Bí,0,1,-,20250328,city
Tijuana,0,1,-,20250328,city
Timmins,0,1,-,20250328,city
Toronto,5,1,-80%,20250328,city
Uvalde,0,1,-,20250328,city
Vancouver,6,1,-83%,20250328,city
Vienna,1,1,0%,20250328,city
"Washington, D.C.",3,1,-67%,20250328,city
Winkler,0,1,-,20250328,city
Zürich,0,1,-,20250328,city
Akron,1,0,-100%,20250328,city
Albuquerque,1,0,-100%,20250328,city
Anchorage,1,0,-100%,20250328,city
Ann Arbor,1,0,-100%,20250328,city
Ashland,1,0,-100%,20250328,city
Austin,5,0,-100%,20250328,city
Bay Harbor,1,0,-100%,20250328,city
Bellingham,2,0,-100%,20250328,city
Bend,1,0,-100%,20250328,city
Berlin,1,0,-100%,20250328,city
Bogotá,1,0,-100%,20250328,city
Burlington,2,0,-100%,20250328,city
Cadillac,1,0,-100%,20250328,city
Canton,1,0,-100%,20250328,city
Cardiff,1,0,-100%,20250328,city
Chon Buri,1,0,-100%,20250328,city
Columbia,1,0,-100%,20250328,city
Dayton,1,0,-100%,20250328,city
Daytona Beach,13,0,-100%,20250328,city
Düsseldorf,1,0,-100%,20250328,city
Eau Claire,1,0,-100%,20250328,city
Eugene,1,0,-100%,20250328,city
Fremont,1,0,-100%,20250328,city
Fukuoka,1,0,-100%,20250328,city
Glenwood Springs,1,0,-100%,20250328,city
Havelock,1,0,-100%,20250328,city
Helena,1,0,-100%,20250328,city
Johnstown,1,0,-100%,20250328,city
Kalispell,1,0,-100%,20250328,city
Lancaster,1,0,-100%,20250328,city
Lincoln,2,0,-100%,20250328,city
Linz,1,0,-100%,20250328,city
Lisbon,10,0,-100%,20250328,city
Madison,1,0,-100%,20250328,city
Monterrey,1,0,-100%,20250328,city
New Orleans,1,0,-100%,20250328,city
Newport News,1,0,-100%,20250328,city
Norfolk,1,0,-100%,20250328,city
Ogden,1,0,-100%,20250328,city
Olean,1,0,-100%,20250328,city
Oshawa,1,0,-100%,20250328,city
Penticton,2,0,-100%,20250328,city
Portland,2,0,-100%,20250328,city
Portsmouth,1,0,-100%,20250328,city
Prince George,1,0,-100%,20250328,city
Redding,1,0,-100%,20250328,city
Regina,1,0,-100%,20250328,city
Rock Hill,1,0,-100%,20250328,city
Rodez,1,0,-100%,20250328,city
Rome,1,0,-100%,20250328,city
Sandpoint,1,0,-100%,20250328,city
Santa Rosa,2,0,-100%,20250328,city
Sapporo,1,0,-100%,20250328,city
Saskatoon,2,0,-100%,20250328,city
St. Louis,3,0,-100%,20250328,city
Star Valley Ranch,1,0,-100%,20250328,city
Stonecrest,1,0,-100%,20250328,city
Taipei,1,0,-100%,20250328,city
Tallinn,1,0,-100%,20250328,city
The Woodlands,2,0,-100%,20250328,city
Traverse City,1,0,-100%,20250328,city
Tucson,1,0,-100%,20250328,city
Tulsa,4,0,-100%,20250328,city
Victoria,3,0,-100%,20250328,city
Watertown,1,0,-100%,20250328,city
Waukesha,1,0,-100%,20250328,city
Wausau,1,0,-100%,20250328,city
